date,he,alberta_internal_load,pool_price,import_export,AESO_Name,Capacity,asset_id,block_number,price,from,to,size,available_mw,dispatched,dispatched_mw,flexible,Plant_Type,Plant_Fuel
2024-01-10,01,10710,54.58,,Conrad 1 (CRD1),23,CRD1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Conrad 2 (CRD2),18,CRD2,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Deerfoot (DFT1),37,DFT1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Empress Solar Park (EMP1),39,EMP1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Fox Coulee Solar (FCS1),75,FCS1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Hull (HUL1),25,HUL1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Hays (HYS1),23,HYS1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Innisfail (INF1),22,INF1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Jenner (JER1),23,JER1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Joffre Solar 1 (JFS1),25,JFS1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Joffre Solar 2 (JFS2),22,JFS2,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,kisikaw-pisim 2 (KKP1),7,KKP1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,kisikaw-pisim 2 (KKP1),7,KKP2,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Michichi Creek (MCH1 ),14,MCH1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Michichi Solar (MIC1),25,MIC1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Monarch (MON1),24,MON1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,East Strathmore Namaka (NMK1),20,NMK1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Saddlebrook Solar (SDL1),81,SDL1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Spring Coulee (SGC1),30,SGC1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Sollair Solar Energy Plant (SLR1),75,SLR1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Strathmore 1 (STR1),58,STR1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Strathmore 2 (STR2),75,STR2,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Stavely (STV1),17,STV1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Suffield (SUF1),23,SUF1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Kneehill Solar (TRH1),25,TRH1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Travers (TVS1),400,TVS1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Vulcan (VCN1),22,VCN1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Vauxhall (VXH1),22,VXH1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Wheatcrest (WCR1),50,WCR1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Westfield Yellow Lake (WEF1),19,WEF1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,Youngstown Solar (YNG1),6,YNG1,1,0,0,0,0,0,Y,0,N,SOLAR,SOLAR
2024-01-10,01,10710,54.58,,eReserve6 (ERV6),20,ERV6,0,0,0,4,4,0,N,0,Y,STORAGE,STORAGE
2024-01-10,01,10710,54.58,,eReserve5 Hughenden (ERV5),20,ERV5,0,0,0,4,4,0,N,0,Y,STORAGE,STORAGE
2024-01-10,01,10710,54.58,,eReserve4 (ERV4),20,ERV4,0,0,0,4,4,0,N,0,Y,STORAGE,STORAGE
2024-01-10,01,10710,54.58,,eReserve3 Mercer Hill (ERV3),20,ERV3,0,0,0,4,4,0,N,0,Y,STORAGE,STORAGE
2024-01-10,01,10710,54.58,,eReserve1 Rycroft (ERV1),20,ERV1,0,0,0,4,4,0,N,0,Y,STORAGE,STORAGE
2024-01-10,01,10710,54.58,,eReserve2 Buffalo Creek (ERV2),20,ERV2,0,0,0,4,4,1,Y,1,Y,STORAGE,STORAGE
2024-01-10,01,10710,54.58,,eReserve7 (ERV7),20,ERV7,0,0,0,5,5,5,Y,5,Y,STORAGE,STORAGE
2024-01-10,01,10710,54.58,,eReserve8 (ERV8),20,ERV8,0,0,0,5,5,5,Y,5,Y,STORAGE,STORAGE
2024-01-10,01,10710,54.58,,Suncor Chin Chute (SCR3)*,30,SCR3,1,0,0,8.3205,8.3205,8.3205,Y,8.3205,N,WIND,WIND
2024-01-10,01,10710,54.58,,McBride Lake Windfarm (AKE1)*,73.3,AKE1,1,0,0,17.896,17.896,17.896,Y,17.896,N,WIND,WIND
2024-01-10,01,10710,54.58,,Ardenville Wind (ARD1)*,68.2,ARD1,1,0,0,18.959,18.959,18.959,Y,18.959,N,WIND,WIND
2024-01-10,01,10710,54.58,,Buffalo Atlee 1 (BFL1),18,BFL1,1,0,0,0.9091,0.9091,0.9091,Y,0.9091,N,WIND,WIND
2024-01-10,01,10710,54.58,,Buffalo Atlee 2 (BFL2),16,BFL2,1,0,0,2.942,2.942,2.942,Y,2.942,N,WIND,WIND
2024-01-10,01,10710,54.58,,Buffalo Atlee 3 (BFL3),18,BFL3,1,0,0,1.8859,1.8859,1.8859,Y,1.8859,N,WIND,WIND
2024-01-10,01,10710,54.58,,Buffalo Atlee 4 (BFL4),10,BFL4,1,0,0,0.9458,0.9458,0.9458,Y,0.9458,N,WIND,WIND
2024-01-10,01,10710,54.58,,Blackspring Ridge (BSR1)*,300,BSR1,1,0,0,185.088,185.088,185.088,Y,185.088,N,WIND,WIND
2024-01-10,01,10710,54.58,,Blue Trail Wind (BTR1)*,66,BTR1,1,0,0,13.504,13.504,13.504,Y,13.504,N,WIND,WIND
2024-01-10,01,10710,54.58,,BUL1 Bull Creek (BUL1)*,13.65,BUL1,1,0,0,12.032,12.032,12.032,Y,12.032,N,WIND,WIND
2024-01-10,01,10710,54.58,,BUL2 Bull Creek (BUL2)*,16,BUL2,1,0,0,11.088,11.088,11.088,Y,11.088,N,WIND,WIND
2024-01-10,01,10710,54.58,,Castle River #1 (CR1)*,39,CR1,1,0,0,12.8401,12.8401,12.8401,Y,12.8401,N,WIND,WIND
2024-01-10,01,10710,54.58,,Cowley Ridge (CRE3)*,20,CRE3,1,0,0,1.488,1.488,1.488,Y,1.488,N,WIND,WIND
2024-01-10,01,10710,54.58,,Castle Rock Wind Farm (CRR1)*,77,CRR1,1,0,0,2.9785,2.9785,2.9785,Y,2.9785,N,WIND,WIND
2024-01-10,01,10710,54.58,,Castle Rock Ridge 2 (CRR2),29,CRR2,1,0,0,8.4057,8.4057,8.4057,Y,8.4057,N,WIND,WIND
2024-01-10,01,10710,54.58,,Cypress 1 (CYP1),196,CYP1,1,0,0,24.47,24.47,24.47,Y,24.47,N,WIND,WIND
2024-01-10,01,10710,54.58,,Cypress 2 (CYP2),46,CYP2,1,0,0,5.552,5.552,5.552,Y,5.552,N,WIND,WIND
2024-01-10,01,10710,54.58,,Forty Mile Granlea (FMG1),200,FMG1,1,0,0,88.128,88.128,88.128,Y,88.128,N,WIND,WIND
2024-01-10,01,10710,54.58,,Garden Plain (GDP1),130,GDP1,1,0,0,68.4303,68.4303,68.4303,Y,68.4303,N,WIND,WIND
2024-01-10,01,10710,54.58,,Grizzly Bear Creek (GRZ1),152,GRZ1,1,0,0,75.1186,75.1186,75.1186,Y,75.1186,N,WIND,WIND
2024-01-10,01,10710,54.58,,Soderglen Wind (GWW1)*,71,GWW1,1,0,0,26.224,26.224,26.224,Y,26.224,N,WIND,WIND
2024-01-10,01,10710,54.58,,Halkirk Wind Power Facility (HAL1)*,150,HAL1,1,0,0,66.432,66.432,66.432,Y,66.432,N,WIND,WIND
2024-01-10,01,10710,54.58,,Hand Hills (HHW1),145,HHW1,1,0,0,68.384,68.384,68.384,Y,68.384,N,WIND,WIND
2024-01-10,01,10710,54.58,,Hilda Wind (HLD1),100,HLD1,1,0,0,37.1017,37.1017,37.1017,Y,37.1017,N,WIND,WIND
2024-01-10,01,10710,54.58,,Summerview 1 (IEW1)*,66,IEW1,1,0,0,8.407,8.407,8.407,Y,8.407,N,WIND,WIND
2024-01-10,01,10710,54.58,,Summerview 2 (IEW2)*,66,IEW2,1,0,0,7.6003,7.6003,7.6003,Y,7.6003,N,WIND,WIND
2024-01-10,01,10710,54.58,,Jenner 1 (JNR1),122,JNR1,1,0,0,44.1598,44.1598,44.1598,Y,44.1598,N,WIND,WIND
2024-01-10,01,10710,54.58,,Jenner 2 (JNR2),71,JNR2,1,0,0,21.2238,21.2238,21.2238,Y,21.2238,N,WIND,WIND
2024-01-10,01,10710,54.58,,Jenner 3 (JNR3),109,JNR3,1,0,0,33.88,33.88,33.88,Y,33.88,N,WIND,WIND
2024-01-10,01,10710,54.58,,Kettles Hill (KHW1)*,63,KHW1,1,0,0,0.6011,0.6011,0.6011,Y,0.6011,N,WIND,WIND
2024-01-10,01,10710,54.58,,Lanfine Wind (LAN1),151,LAN1,1,0,0,114.592,114.592,114.592,Y,114.592,N,WIND,WIND
2024-01-10,01,10710,54.58,,Ghost Pine (NEP1)*,82,NEP1,1,0,0,39.04,39.04,39.04,Y,39.04,N,WIND,WIND
2024-01-10,01,10710,54.58,,Oldman 2 Wind Farm 1 (OWF1)*,46,OWF1,1,0,0,2.916,2.916,2.916,Y,2.916,N,WIND,WIND
2024-01-10,01,10710,54.58,,Paintearth Wind Project (PAW1),198,PAW1,1,0,0,69.13,69.13,69.13,Y,69.13,N,WIND,WIND
2024-01-10,01,10710,54.58,,Riverview (RIV1),105,RIV1,1,0,0,10.296,10.296,10.296,Y,10.296,N,WIND,WIND
2024-01-10,01,10710,54.58,,Rattlesnake Ridge Wind (RTL1),130,RTL1,1,0,0,35.904,35.904,35.904,Y,35.904,N,WIND,WIND
2024-01-10,01,10710,54.58,,Suncor Magrath (SCR2)*,30.2,SCR2,1,0,0,5.1571,5.1571,5.1571,Y,5.1571,N,WIND,WIND
2024-01-10,01,10710,54.58,,Wintering Hills (SCR4)*,88,SCR4,1,0,0,60.214,60.214,60.214,Y,60.214,N,WIND,WIND
2024-01-10,01,10710,54.58,,Sharp Hill (SHH1),297,SHH1,1,0,0,155.656,155.656,155.656,Y,155.656,N,WIND,WIND
2024-01-10,01,10710,54.58,,Stirling Wind (SWP1),113,SWP1,1,0,0,33.504,33.504,33.504,Y,33.504,N,WIND,WIND
2024-01-10,01,10710,54.58,,Enmax Taber (TAB1)*,81,TAB1,1,0,0,16.2375,16.2375,16.2375,Y,16.2375,N,WIND,WIND
2024-01-10,01,10710,54.58,,Wheatland Wind (WHE1),120,WHE1,1,0,0,101.5595,101.5595,101.5595,Y,101.5595,N,WIND,WIND
2024-01-10,01,10710,54.58,,Whitla (WHT1),202,WHT1,1,0,0,112.948,112.948,112.948,Y,112.948,N,WIND,WIND
2024-01-10,01,10710,54.58,,Whitla 2 (WHT2),151,WHT2,1,0,0,82.592,82.592,82.592,Y,82.592,N,WIND,WIND
2024-01-10,01,10710,54.58,,Windrise (WRW1),207,WRW1,1,0,0,59.808,59.808,59.808,Y,59.808,N,WIND,WIND
2024-01-10,01,10710,54.58,,Muskeg River (MKR1),202,MKR1,1,18.26,178,192,14,14,Y,14,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Carseland Cogen (TC01),95,TC01,1,18.35,64,75,11,11,Y,11,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Shepard (EGC1),860,EGC1,1,20.52,390,440,50,50,Y,50,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,Shepard (EGC1),860,EGC1,2,20.6,440,490,50,50,Y,50,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,ENMAX Calgary Energy Centre (CAL1),320,CAL1,1,22.12,115,155,40,40,Y,40,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,Shepard (EGC1),860,EGC1,3,22.41,490,601,111,111,Y,111,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,ATCO Scotford Upgrader (APS1),195,APS1,1,22.63,130,163,33,33,Y,33,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,ENMAX Calgary Energy Centre (CAL1),320,CAL1,2,23.12,155,200,45,45,Y,45,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,Cavalier (EC01),120,EC01,1,23.83,50,82,32,32,Y,32,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,ENMAX Calgary Energy Centre (CAL1),320,CAL1,3,24.12,200,290,90,90,Y,90,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,Cavalier (EC01),120,EC01,2,24.83,82,112,30,10,Y,10,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,Shepard (EGC1),860,EGC1,4,26.26,601,681,80,80,Y,80,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,Fort Hills (FH1),199,FH1,1,26.74,165,199,34,34,Y,34,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Shepard (EGC1),860,EGC1,5,27.2,681,746,65,65,Y,65,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,Air Liquide Scotford #1 (ALS1),96,ALS1,1,28.5,50,88,38,37,Y,37,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Medicine Hat #1 (CMH1),255,CMH1,1,28.5,130,134,4,4,Y,4,N,NGCC,GAS
2024-01-10,01,10710,54.58,,Dow Hydrocarbon (DOWG),326,DOWG,1,28.66,130,161,31,31,Y,31,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Joffre #1 (JOF1),474,JOF1,1,28.74,100,150,50,50,Y,50,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Heartland Petrochemical (HRT1),116,HRT1,2,29.21,70,95,25,25,Y,25,N,COGEN,GAS
2024-01-10,01,10710,54.58,,Shepard (EGC1),860,EGC1,6,30.31,746,820,74,74,Y,74,Y,NGCC,GAS
2024-01-10,01,10710,54.58,,Keephills #3 (KH3),463,KH3,1,31.77,135,180,45,45,Y,45,N,NGCONV,GAS
2024-01-10,01,10710,54.58,,Northern Prairie Power Project (NPP1),105,NPP1,1,32,45,46,1,1,Y,1,N,SCGT,GAS
2024-01-10,01,10710,54.58,,Dow Hydrocarbon (DOWG),326,DOWG,2,32.23,161,199,38,38,Y,38,Y,COGEN,GAS
2024-01-10,01,10710,54.58,,Keephills #3 (KH3),463,KH3,2,32.4,180,234,54,54,Y,54,Y,NGCONV,GAS
2024-01-10,01,10710,54.58,,Keephills #3 (KH3),463,KH3,3,33.03,234,291,57,57,Y,57,Y,NGCONV,GAS
2024-01-10,01,10710,54.58,,Keephills #3 (KH3),463,KH3,4,33.66,291,346,55,55,Y,55,Y,NGCONV,GAS
2024-01-10,01,10710,54.58,,Northern Prairie Power Project (NPP1),105,NPP1,2,34,46,65,19,19,Y,19,Y,SCGT,GAS
2024-01-10,01,10710,54.58,,Joffre #1 (JOF1),474,JOF1,2,34.36,150,200,50,50,Y,50,N,COGEN,GAS
